iter,f1_macro,f1_micro
0,0.46646,0.57687
50,0.46677,0.57533
100,0.46537,0.57033
150,0.46351,0.56547
200,0.46022,0.56011
250,0.45746,0.55517
300,0.45367,0.55003
350,0.44979,0.54495
400,0.44706,0.54127
450,0.44474,0.53774
500,0.44252,0.53449
550,0.44059,0.53243
600,0.43971,0.53034
650,0.43809,0.52857
700,0.43703,0.52714
750,0.43603,0.52635
800,0.43448,0.52423
850,0.43352,0.52293
900,0.43321,0.52293
950,0.43284,0.52205
1000,0.4323,0.52148
1050,0.43231,0.5214
1100,0.43256,0.52184
1150,0.43276,0.5216
1200,0.43256,0.52081
1250,0.43308,0.52168
1300,0.43309,0.52121
1350,0.43316,0.52125
1400,0.43347,0.5213
1450,0.43355,0.52153
1500,0.43368,0.52131
1550,0.43366,0.52061
1600,0.43386,0.52103
1650,0.43489,0.52138
1700,0.43539,0.52182
1750,0.43593,0.52204
1800,0.43613,0.52253
1850,0.43633,0.52235
1900,0.43608,0.52127
1950,0.43711,0.52257
2000,0.43736,0.52219
2050,0.43764,0.52238
2100,0.43773,0.52215
2150,0.43792,0.52241
2200,0.43796,0.52213
2250,0.43815,0.52166
2300,0.43843,0.52214
2350,0.43862,0.52183
2400,0.43884,0.52212
2450,0.4391,0.52215
2500,0.43946,0.52247
2550,0.43947,0.52229
2600,0.43928,0.52146
2650,0.43953,0.52198
2700,0.43962,0.52151
2750,0.43987,0.52181
2800,0.43972,0.52164
2850,0.43987,0.52173
2900,0.44011,0.52174
2950,0.44011,0.52108
3000,0.44058,0.52181
3050,0.44082,0.52155
3100,0.44124,0.52212
3150,0.44143,0.52208
3200,0.44159,0.52218
3250,0.44181,0.52231
3300,0.44162,0.52161
3350,0.44193,0.52215
3400,0.442,0.52165
3450,0.44226,0.52204
3500,0.44238,0.52194
3550,0.44244,0.52194
3600,0.44253,0.52195
3650,0.44247,0.52133
3700,0.44286,0.52195
3750,0.44287,0.52155
3800,0.44325,0.52212
3850,0.44284,0.52151
3900,0.44296,0.52152
3950,0.44289,0.52135
4000,0.44283,0.5208
4050,0.44316,0.52132
